Title;Abstract;Focus area(s);Geographical coverage;Type of resource;Entity;Publication date;Authors;DOI/URI;Tags;
Can Online Platforms Promote Women-Led Exporting Firms?;How can policymakers promote women-led exporting firms? In this paper, we study the role of online business platforms to reduce informational barriers to exporting for women entrepreneurs. We hypothesize that, if the costs associated with accessing digital platforms are more symmetric across gender than traditional trade costs, digital trade platforms can play an important role in making trade more gender equal. To assess this hypothesis, we combine information on firms' participation in ConnectAmericas , a free and purely informational online platform, and detailed firm level export data of a developing country over a long period. We find that participation in this platform is associated with a significantly larger increase in exports for women entrepreneurs than for men managed firms in otherwise identical products and destinations. Given existing evidence on the role of women managed businesses in reducing gender earnings inequality, these results suggest that policies which encourage women participation in online environments to reduce the informational barriers associated with operating in foreign markets have the capacity to promote gender equality more broadly.;Ownership and Use of Economic Assets, Access to Jobs;Caribbean, Latin America;Working paper;Inter-American Development Bank;Aug-23;"Poole, Jennifer P.;  Volpe Martincus, Christian";http://dx.doi.org/10.18235/0005061;Digital Technologies & Services, Entrepreneurship;
Caring for Caregivers: The Landscape of Paid Care Work in Latin America and the Caribbean;Paid care work will represent an important source of employment in coming decades, as care dependence becomes more prevalent, care needs evolve, and the structure of households changes. But there is little systematic data on the care economy for paid caregivers in Latin America and the Caribbean. This report aims to fill this knowledge gap by quantifying the paid care workforce in the region and describing its sociodemographic and economic profile in 17 countries. Using the most recent pre-pandemic microdata from labor and household surveys, the report examines the care economy for care workers who serve children and adults. The study concludes that there are approximately 8.9 million paid caregivers in the region, including 5.8 million paid workers who take care of children and 3.1 million who look after older people and people with disabilities. Most professionals in the sector are women in their early forties with a secondary-level education and with limited access to social protection benefits. This paper contributes to the ongoing discussion on paid and unpaid care work by emphasizing the importance of supporting a thriving workforce in the region while redistributing the burden of care in all dimensions of human life.;Access to and Use of Services, Other;Caribbean, Latin America;Technical note;Inter-American Development Bank;Sep-23;Fabiani, Beatrice;http://dx.doi.org/10.18235/0005147;Care, Employment Access & Opportunities, Social Protection;
Women in the Gig Economy: Results of a Survey of Socioeconomic and Financial Conditions of Women Workers in the Gig Economy Platforms;Gig economy platforms can contribute to improving the financial inclusion of women. This publication presents the results of a survey on socioeconomic and financial conditions carried out among nearly 1,000 domestic workers from four platforms in Argentina, Chile, Colombia, and Mexico. It presents the sampling frame, technical data sheet, and main results in socioeconomic profile, relationship with the platform, income, financial inclusion, and savings and credit perspectives.;Ownership and Use of Economic Assets;Latin America;Brief;Inter-American Development Bank;Apr-23;"Fern‡ndez D’ez, Mar’a Carmen;ĘĘT‡mola, Alejandro;ĘĘJoach’n, Arturo; Azar, Karina;ĘĘColoma, Mar’a Gabriela;ĘĘHerrera, Diego";http://dx.doi.org/10.18235/0004852;Financial Services & Inclusion, Digital Technologies & Services;
Gender inequality in the labor market: the case of Morocco;"Gender disparities in the labor market persist as a serious challenge, resulting in lower participation rates for women than men. This gender gap in labor force participation varies considerably across regions, with female participation rates consistently lagging men.

After some progress during the last few decades, the multiple crises faced by the global economy in recent times Đ pandemic, the war in Ukraine, rising risks of climate change, and slowing growth after high inflation Đ have meant a setback to progress in reforms toward the empowerment of women in labor markets.

We approach here how Morocco can strengthen productivity and economic growth by pursuing reforms to reduce gender inequality of opportunities.

Reducing gender inequality of opportunities in the labor market can boost economic growth and development. After some progress during the last few decades, the multiple crises faced by the global economy in recent times Đ pandemic, war in Ukraine, rising risks of climate change, and slowing growth after high inflation Đ have meant a setback to progress in reforms toward empowerment of women in labor markets. Morocco can strengthen productivity and economic growth by pursuing reforms to reduce gender inequality of opportunities.";Access to Jobs;North Africa;Brief;Policy Center for the New South;Mar-23;Otaviano CanutoĘĘHajar Kabbach;https://www.policycenter.ma/publications/gender-inequality-labor-market-case-morocco;Productivity, Employment Access & Opportunities, External Shocks;
AccessibilitŽ des femmes aux opportunitŽs Žconomiques au Maroc;"Le taux dŐactivitŽ des femmes marocaines (*) affiche un dŽclin devenu structurel depuis une vingtaine dŐannŽes. Ce dŽclin est encore plus critique vu le faible niveau de ce taux, considŽrŽ parmi les plus bas � lŐŽchelle mondiale. Pourtant, plusieurs rŽformes, programmes et actions ont ŽtŽ menŽs ou sont en cours de dŽploiement pour amŽliorer les conditions de la femme, aussi bien au niveau Žconomique que social, et dans les milieux urbain et rural.

Sommes-nous face � un phŽnomŹne sociŽtal ou tout simplement devant des problŽmatiques de croissance Žconomique ? Quels enseignements peut-on tirer des diffŽrentes Žtudes et analyses menŽes dans ce sens et quels sont les leviers pour une politique plus efficiente qui produit des effets durables pour lŐamŽlioration de lŐautonomisation Žconomique de la femme au Maroc ?

(*) Le taux dŐactivitŽ indique la part de la population qui participe ou cherche � participer � la production de biens et services dans la population totale du pays.";Access to Jobs;North Africa;Brief;Policy Center for the New South;Mar-23;Mounia Boucetta;https://www.policycenter.ma/publications/accessibilite-des-femmes-aux-opportunites-economiques-au-maroc;Employment Access & Opportunities, Economic Empowerment, Productivity;
CŽlŽbrer le 8 mars cŐest bien, privilŽgier lŐaction cŐest encore mieux : stimuler la participation Žconomique de la femme marocaine;Nous cŽlŽbrons, le 8 mars de chaque annŽe, la JournŽe internationale des droits de la femme. En cette occasion, il est utile de rappeler quelques faits stylisŽs et observations dŐordre gŽnŽral sur la position quŐoccupe la femme dans lŐŽconomie marocaine. Face aux constats que lŐon dressera ci-dessous, le moins que lŐon puisse dire est que lŐinstant nŐest pas � la cŽlŽbration mais � lŐaction : la participation de la femme marocaine � lŐactivitŽ Žconomique demeure relativement faible et seules des politiques publiques les plaŤant au centre de la rŽflexion peuvent changer la donne.;Access to Jobs;North Africa;Column;Policy Center for the New South;Mar-23;Youssef El Jai;https://www.policycenter.ma/publications/celebrer-le-8-mars-cest-bien-privilegier-laction-cest-encore-mieux-stimuler-la;Productivity, Employment Access & Opportunities, Economic Empowerment;
The ABCs of the Role of Public Transport in WomenŐs Economic Empowerment;"There is increasing recognition that deficiencies in the public transport system impact men and women differently. While transport systems have been shown to play a significant role in womenŐs participation in the labor force globally, this topic has been little explored in the Middle East and North Africa. This paper examines the effect of the spatial accessibility, availability, and safety of public transportation on womenŐs labor market outcomes in three capital cities in the Middle East and North AfricaŃAmman in Jordan, Beirut in Lebanon, and Cairo in the Arab Republic of Egypt. The analysis uses three types of data collected for each city in 2022, namely, household mobility surveys, transit network data, and built environment audits. The paper investigates how the spatial accessibility of jobs in each city, the availability of public transportation close to residential locations, and the safety of public transit stops affect the labor force participation of women and their likelihood of employment. The main findings are that: (a) accessibility, availability, and safety appear to impact womenŐs labor force participation differentially in each city, and these impacts also vary by income level; and (b) although accessibility, availability, and safety appear to impact womenŐs labor force participation, they have overall little impact on womenŐs employment probability. The paper takes these two findings to imply that: (a) a one-size-fits-all-women solution is not appropriate when designing public transport systems; and (b) although public transport plays a critical role in improving womenŐs access to employment opportunities, complementary actions are needed to translate these gains into gainful employment.";Access to and Use of Services, Access to Jobs;Middle East, North Africa;Working paper;The World Bank;Apr-23;"Alam, Muneeza Mehmood
Bagnoli, Lisa
Kerzhner, Tamara";https://openknowledge.worldbank.org/handle/10986/39682;Employment Access & Opportunities, Productivity, Transportation & Mobility;
Revitalizing Women's Labor Force Participation in North Africa: An Exploration of Novel Empowerment Pathways;This paper explores new pathways to women's empowerment, including household structure, family support, satisfaction and self-esteem, and trust in institutions and politicians, and their impact on labor market participation, with a specific focus on gender differences. Using a microeconomic database of 7,860 individuals from North Africa and employing a Probit model, we find that gender significantly influences labor market participation. Surprisingly, our results reveal that education operates in an unexpected direction in the North African region, confirming the ŇMENA paradoxÓ. Moreover, household structure's impact on labor decisions varies by gender, as gender norms prevalent in male-dominated societies hinder women's labor market participation, leading to a Ňmarriage penalty.Ó In a similar vein, our estimations reveal a significant positive correlation between men's belief that Ňmen should have greater job rights than women during scarce work periodsÓ and their labor force participation, shedding light on the influential role of gender norms in North Africa. Our study emphasizes the critical role of networking, social capital, and how North Africans' perception of political life impedes their labor force participation. As for policy implications, our contribution illuminates new pathways for women's empowerment, advocating for comprehensive legislative reforms to promote gender equality and foster inclusive development.;Access to Jobs, Other;North Africa;Article;Policy Center for the New South;Jul-23;Aomar IbourkĘĘZakaria Elouaourti;https://doi.org/10.1080/10168737.2023.2227161;Employment Access & Opportunities, Productivity, Norms, Education, Economic Empowerment;
Movilidades invisibles: patrones de movilidad cotidiana de mujeres en contextos de nueva ruralidad de municipios del estado de Hidalgo;"Este estudio analiza la movilidad cotidiana de mujeres de tres municipios predominantemente rurales del estado de Hidalgo: Atlapexco, Yahualica y Xochiatip‡n. El principal hallazgo observado es la alta inmovilidad de las mujeres, es decir, las mujeres que reconocen no haber realizado viajes en un d’a entre semana o fin de semana. Con relaci—n a los patrones de movilidad, el estudio indica que los viajes con prop—sitos de cuidado tienen un peso importante en los desplazamientos de mujeres. En efecto, la mayor parte de estos consisten en trayectos relacionados con sus responsabilidades domŽsticas tales como: ir de compras, llevar ni–os/as a la escuela o a casa de algśn familiar para su cuidado y, en menor medida, las mujeres se desplazan para trabajar y estudiar. Asimismo, caminar es el modo de transporte principal de las mujeres bajo estudio. Adicionalmente, el estudio se–ala que los principales desaf’os que enfrentan las mujeres est‡n relacionados con elevados tiempos de espera para acceder a un medio de transporte, la falta de transporte en sus localidades, el mal estado de las vialidades, la inexistencia de caminos rurales peatonales. Finalmente, el estudio presenta una serie de recomendaciones y medidas sobre infraestructura de transporte rural, medidas operacionales en servicios rurales, acciones de innovaci—n y generaci—n de datos, participaci—n de mśltiples actores y, medidas de seguridad; que, en su conjunto, permiten sentar las bases para una pol’tica integral de movilidad rural con perspectiva de gŽnero.";Access to and Use of Services;Latin America;Report;Inter-American Development Bank;Jul-23;Soto Villagr‡n, Paula;http://dx.doi.org/10.18235/0004970;Care, Transportation & Mobility, Basic Services;
Domestic violence and women's earnings in Mexico;This paper provides the first empirical analysis on the relationship between domestic violence and women's earnings in Mexico, a country where research on intimate partner violence has not yet received much attention in the economic literature despite the increasing rates in gender-based violence. An index for domestic violence is also created, challenging the traditional dichotomous measure used within this context. Findings reveal a negative and significant association between domestic violence and women's earnings in Mexico for all types of intimate partner violence and independent of the IPV measure used.;Gender-Based Violence (GBV);Latin America;Article;IDEAS;Jul-23;Edith Aguirre;https://ideas.repec.org/a/emx/esteco/v38y2023i1p143-165.html;Economic Empowerment, Employment Access & Opportunities, Gender-Based Violence (GBV);
The Role of Structural Fiscal Policy on Female Labor Force Participation in OECD CountriesĘ;This paper examines the role of structural fiscal policies to promote female labor force participation and reduce gender gaps in labor markets in 26 OECD countries from 2000 to 2019. As both female labor force participation and many explanatory/control variables clearly exhibit non-stationarity (potentially leading to spurious regression results), we employ a panel vector error-correction model, in contrast with most previous empirical studies on this matter. Our analyses confirm statistically significant positive impacts of government spending on (1) early childcare and education, (2) active labor market programs, and (3) unemployment benefits, all of which would help encourage women to enter the labor force, while (4) an increase in relative tax rate on second earner could have negative impact on female labor force participation.;Access to and Use of Services, Access to Jobs;OECD;Working paper;International Monetary Fund;Sep-23;"Asai, Miyoko ; Chen, Qiaoe ; Honda, Jiro ; Hu, Xingwei ; Zhang, Qianqian";https://www.imf.org/-/media/Files/Publications/WP/2023/English/wpiea2023186-print-pdf.ashx;Employment Access & Opportunities, Fiscal Policy;
Women-Owned Micro, Small, and Medium-Sized Enterprises in Fiji: Opportunities and Challenges for Private Sector Financial Institutions;This publication shares insights on how private sector financial institutions in Fiji can help women who own micro, small, and medium-sized enterprises to access credit, estimating unmet demand at $111 million.;Ownership and Use of Economic Assets;Pacific;Brief;Asia Development Bank;Aug-23;ADB;https://dx.doi.org/10.22617/ARM230280-2;Financial Services & Inclusion, Entrepreneurship, Access to Capital & Productive Inputs;
Gender Equality in Colombia: Towards a Better Sharing of Paid and Unpaid Work;The OECD review of Gender Equality in Colombia: Towards a Better Sharing of Paid and Unpaid Work is the third in a collection of reports focusing on Latin American and the Caribbean countries, and part of the series Gender Equality at Work. The report compares gender gaps in labour and educational outcomes in Colombia with other countries. Particular attention is put on the uneven distribution of unpaid work, and the extra burden this places on women. It investigates how policies and programmes in Colombia can make this distribution more equitable. The first part of the report reviews the evidence on gender gaps and on what causes these, including the role played by attitudes. The second part develops a comprehensive framework to address these challenges, presenting a broad range of options to reduce the unpaid work burden falling on women, and to increase womenŐs labour income. Earlier reviews in the same collection have looked at gender equality policies in Chile (2021) and Peru (2022).;Access to Jobs, Other;Latin America;Report;OECD;Sep-23;OECD;https://www.oecd.org/publications/gender-equality-in-colombia-9f829821-en.htm;Care, Norms, Employment Access & Opportunities;
Pathways through the Pandemic: Ways in Which Women Fared in South and Southeast Asia;"Gender norms around work left women more vulnerable to economic losses and restricted re-entry into the labor force.
The coronavirus disease (COVID-19) shock demonstrates the importance of intentional social safety nets and control over wages within households.
Skills and knowledge gaps are important factors that restrict vulnerable groups, like women, from accessing existing public resources during shocks.
Developing digital financial infrastructure allows governments to be better prepared to respond to shocks, and ensuring that women have direct access has important empowerment implications.
Female migration is more vulnerable to economic shocks than male migration.
The measurement of COVID_19 recovery through labor force participation alone will mask other gaps and vulnerabilities that emerged, especially for women.";Access to and Use of Services;South Asia, Southeast Asia;Brief;Asia Development Bank;Aug-23;Pande, Rohini Jorgensen, Erik Moore, Charity Troyer Schaner, Simone;https://doi.org/10.56506/MZRK8649;External Shocks, Digital Technologies & Services, Financial Services & Inclusion, Economic Empowerment;
Does Co-Residence with Parents-In-Law Reduce Women's Employment In India?;We examine the effect of co-residence with fathers- and mothers-in-law on married womenŐs employment in India. Instrumental variable fixed effects estimates using two different household panel datasets indicate that co-residence with a father-in-law reduces married womenŐs employment by 11-13%, while co-residence with a mother-in-law has no effect. Difference-in-difference estimates show that married womenŐs employment increases following the death of a co-residing father-in-law, but not mother-in-law. We investigate three classes of explanations for this: income effects, increased domestic responsibilities, and social norms. Our evidence is consistent with gender- and generational norms intersecting to constrain married womenŐs employment when parents-in-law co-reside.;Access to Jobs, Other;South Asia;Article;SSRN;Jan-23;Jayaraman, Rajshri and Khan, Bisma;http://dx.doi.org/10.2139/ssrn.4331137;Norms, Employment Access & Opportunities, Economic Empowerment;
Religious Institutions and Gendered Time Use: Evidence from Ramadan Festivities in India;How does religious institutions bear upon the gender-gap in time use for individuals? In this paper we examine how religious mandates of the holy month of Ramadan affects the gendered distribution of time use within Muslim households in India. Using rich data from a nationally representative time use survey we construct a composite measure of gendered life that incorporates gender gaps. We employ a difference-in-difference methodology to test if this gender imbalance in accentuated by Ramadan. We find that contrary to popular belief, Ramadan moderates the gender disparities in intra-household time use for Muslim households. The moderating influence is stronger in districts with a higher Muslim proportion. We find a reduction in absolute gender gap in time use for employment, unpaid domestic work and learning activities. However, at an individual level, men and women in different age groups are differentially affected by Ramadan.;Other;South Asia;Article;SSRN;Jan-23;Dasgupta, Aparajita and Datta, Ashokankur;http://dx.doi.org/10.2139/ssrn.4329286;Norms, Care;
What do We Know About Interventions to Increase WomenŐs Economic Participation and Empowerment in South Asia? : Financial Products;The World BankŐs South Asia Region Gender Innovation Lab (SARGIL) is conducting a systematic review and meta-analysis of interventions with direct or indirect effects on measures of womenŐs economic empowerment. The review focuses on changes in labor market outcomes, income, and other empowerment indicators. The goal is to document what has and has not worked for women in the region (covering all countries: Afghanistan, Bangladesh, Bhutan, India, Maldives, Nepal, Pakistan, and Sri Lanka), understand the types of interventions implemented, and identify gaps in knowledge and action. Interventions are organized into five categories: Skills, Assets, Financial Products, Care, and Empowerment. This brief summarizes the main findings from the financial products category.;Access to Jobs;South Asia;Brief;The World Bank;Mar-23;"Javed,Amna; Zahra,Najaf; Munoz Boudet,Ana Maria";http://documents.worldbank.org/curated/en/099628003242341781/IDU04bfe4b140f98704c160a3be08e68be8d3c4a;Financial Services & Inclusion, Employment Access & Opportunities, Access to Capital & Productive Inputs, Economic Empowerment;
Women in the Workforce in Quetta: Results from the Quetta Urban Household Survey - Pakistan Gender and Social Inclusion Platform and Poverty and Equity Program;PakistanŐs female labor force participation (FLFP) remains low by regional and global standards. Furthermore, data show major disparities between rural and urban FLFP, with the latter being significantly lower. This note contains analysis of womenŐs labor market outcomes as reported by women in the city of Quetta, Balochistan Province, using data from the World BankŐs 2021 Quetta Urban Household Sur vey (QUHS). The multipurpose QUHS (as well as a similar survey conducted in urban Peshawar in 2020) at tempts to improve measurement of FLFP by collecting information on labor market outcomes directly from all working-age household members. Hence, in terms of implementation, it differs from standard labor force surveys (LFSs) in Pakistan that use one or two proxy respondents to report for other household members. It also increases the number of questions that directly list all possible forms of female employment. Finally, it allows for a more comprehensive definition of employment by accounting for production of goods for family use. Self-reporting of labor status in the QUHS allows for more accurate estimates of FLFP in urban Pakistan compared to what is reported in the most recent LFS. According to benchmarks from different subsamples in the 2020Đ21 LFS, the FLFP estimates from the QUHS always yield higher rates of FLFP (16.1 percent). The difference between the FLFP estimates in the two surveys is significant at the 99 percent level. On the contrary, in the case of men, the difference in estimates of labor force participation between the surveys is smaller and not always significant. When production of goods for family use is included in the accounting of female employment, FLFP increases by a small margin (17.6 percent). The employment profile of women in urban Quetta shows that they are mostly employed in low-value-added activities, mainly manufacturing, as garment and handicraft workers, and display a higher prevalence of own-account, informal, and home-based work. Men, on the contrary, are mostly paid employees. Moreover, womenŐs jobs are in line with socially accepted occupations, likely a function of how easily these jobs can be done from home. Over 78 percent of employed women in urban Quetta are home-based workers who work on their own account and have low chances of upward mobility. These results are in line with figures for urban Peshawar and urban Pakistan. The observed low level of FLFP and the nature of the profile of female employment in urban Pakistan are explained by factors such as low human capital endowment, lack of agency in various aspects of life, limited mobility, safety concerns, deep-rooted patriarchal norms, stereotypes about womenŐs role in the household, time devoted to unpaid care and household work, and lack of information about labor market opportunities.;Access to Jobs;South Asia;Working paper;World Bank Group;Apr-23;World Bank Group;https://openknowledge.worldbank.org/handle/10986/39704;Employment Access & Opportunities, Care, Informal Economic Activity, Productivity, Norms;
Entitled to Property: How Breaking the Gender Barrier Improves Child Health in India;Non-unitary household models suggest that enhancing women's bargaining power can influence child health, a crucial determinant of human capital and economic standing throughout adulthood. We examine the effects of a policy shift, the Hindu Succession Act Amendment (HSAA), which granted inheritance rights to unmarried women in India, on child health. Our findings indicate that the HSAA improved children's height and weight. Furthermore, we uncover evidence supporting a mechanism whereby the policy bolstered women's intra-household bargaining power, resulting in downstream benefits through enhanced parental care for children and improved child health. These results emphasize that children fare better when mothers control a larger share of family resources. Policies empowering women can yield additional positive externalities for children's human capital;Leadership, Human Capital;South Asia;Discussion paper;IZA;May-23;Md Shahadath Hossain, Plamen Nikolov;https://www.iza.org/publications/dp/16193/entitled-to-property-how-breaking-the-gender-barrier-improves-child-health-in-india;Leadership & Management, Health, Children;
Advancing the Agency of Adolescent Girls;More than 98 million adolescent girls are not in school. Can girls influence their schooling without changes in their family's economic environment? In Rajasthan, India, we examine the impact of a school-based life skills program that seeks to address low aspirations, narrow societal roles for girls and women, restricted networks of social support, and limited decision-making power. We find the intervention causes a 25% decline in school dropout that persists from seventh grade through the transition to high school. Improvements in socioemotional support among girls exposed to the intervention seem especially important in their decision to stay in school.;Human Capital;South Asia;Article;The Review of Economics and Statistics;Jul-23;Eric Edmonds, Ben Feigenberg, Jessica Leight;105 (4): 852Đ866;Education, Norms;
What Do We Know About Interventions to Increase WomenŐs Economic Participation and Empowerment in South Asia: Care Polices and Care Services;The Care category covers interventions and mandates that reduce the care burden on women and, consequently, enable them to participate as active economic agents. For the review, care responsibilities are defined as activities that keep women engaged in looking after members of their household. Particularly, the review explores care activities that prevent women of working age from entering the labor force, both at the extensive and intensive margins. Household care activities include childcare, elder care, and care for the sick and disabled. The research for this review accounts for interventions that reduce this burden of care on women and enable them to enter or re-enter the work force. First, this includes childcare servicesŃthose provided by the government, non-governmental organizations (NGOs), private and employer-provided, or supported onsite childcare. Second, it accounts for policies or mandates that provide women with care services and childcare mandates. It also includes additional mandates that provide families with tax breaks, vouchers, and subsidy benefits to help with care responsibilities, and it accounts for labor market regulations, such as leave, family-friendly policies, and arrangements. Lastly, the review excludes policies or programs that provide education to school-age children beyond the pre-school level.;Other, Access to and Use of Services, Access to Jobs;South Asia;Brief;The World Bank;Jul-23;"Zahra, Najaf; Javed, Amna; Munoz Boudet, Ana Maria";https://openknowledge.worldbank.org/handle/10986/40080;Care, Employment Access & Opportunities, Basic Services, Social Protection;
Why Do People Move?: A Data-Driven Approach to Identifying and Predicting Gender-Specific Aspirations to Migrate;Work-related migration has many potential drivers. While current literature has outlined a theoretical framework of various Ňpush-pullÓ factors affecting the likelihood of international migration, empirical papers are often constrained by the scarcity of detailed data on migration, especially in developing countries, and are forced to look at few of these factors in isolation. When detailed data is available, researchers may face arbitrary choices of which variables to include and how to sequence their inclusion. As male and female migrants tend to face occupational segregation, the determinants of migration likely differ by gender, which compounds these data challenges. To overcome these three issues, this paper uses a rich primary household survey among migrant communities in Indonesia and employs two supervised machine-learning methods to identify the top predictors of migration by gender: random forests and least absolute shrinkage and selection operator stability selection. The paper confirms some determinants established by earlier studies and reveals several additional ones, as well as identifies differences in predictors by gender.;Access to Jobs;Southeast Asia;Working paper;The World Bank;Apr-23;"Halim, Daniel
Seetahul, Suneha";https://openknowledge.worldbank.org/handle/10986/39657;Transportation & Mobility, Employment Access & Opportunities;
Gender disparities in financial resilience: insights from South Africa;"Purpose
While the extant literature has explored issues related to the access, usage and availability of financial services, the ability of households to withstand financial adversities, particularly those living under economically vulnerable conditions, requires further attention. The paper presents a gendered analysis of financial resilience behaviour in South Africa.
Design/methodology/approach
Using a nationally representative sample of 4,880 households, this paper constructs a financial resilience behaviour index (FRBI) covering savings, credit, insurance, and retirement planning behaviours. The gendered effect of demographic characteristics on financial resilience is examined using the ordinary least square and seemingly unrelated regression techniques.
Findings
The results show that low levels of financial resilience were present across the sample with insurance observed to be the greatest driver of financial resilience, followed by retirement planning, savings and credit respectively. Furthermore, the analysis highlights that a gender gap in financial resilience exists as men are characterized with higher financial resilience behaviour compared to women. The results also suggest that employed women and women with higher levels of education are associated with greater financial resilience.";Access to and Use of Services;Southern Africa;Article;International Journal of Bank Marketing;Jul-23;Zeka, B. and Alhassan, A.L.;https://doi.org/10.1108/IJBM-01-2023-0053;External Shocks, Financial Services & Inclusion, Social Protection, Economic Empowerment;
Navigating Education, Motherhood, and Informal Labor: The Experiences of Young Women in Luanda;Gender equality is a key foundation of inclusive and sustainable economic development that can translate into long-term and effective poverty reduction. While gender equality matters on its own as a human right, it also offers instrumental value for individuals, households, and societies at large. Global evidence consistently shows that empowering women and girls reduces poverty incidence and food insecurity, boosts economic growth and productivity, and enhances investments in childrenŐs human capital. Angola, a country where a third of the population lives in poverty and economic output is heavily dependent on its oil sector, stands out in Sub-Saharan Africa for its particularly large gender disparities, especially when compared to countries of same income levels. Family formation, education, and labor market decisions are intrinsically interwoven and connected, which in the case of Angola leads to extreme demographic pressure on an already weak public service system. To begin tackling these significant gender disparities, well-designed and targeted policies are needed. But there are significant knowledge gaps when it comes to understanding the key barriers facing Angolan girls and young women in accessing education and transitioning to the labor market. This report presents insights gained from the voices of young women and girls, their parents, and key informants through a series of interviews carried out in Luanda, home to a quarter of the countryŐs population, in 2022. Based on these in-depth interviews with low-income young women in Luanda, this report points to the multiple challenges they face across their life cycle - challenges relating to the dimensions of education, family formation, and work. It also shows how those dimensions in a womanŐs life are deeply interconnected - and how they are determined by structural constraints including poverty and vulnerability, gender norms, corruption and lack of transparency in access to services and opportunities, and violence in public and private spheres.;Human Capital, Access to Jobs;Southern Africa;Brief;The World Bank;Sep-23;"Machado, Ana Luiza; Kalle,ĘĘAlina;Muller, Miriam";https://openknowledge.worldbank.org/handle/10986/40401;Youth, Education, Norms, Employment Access & Opportunities;
Digital Financial Services and Implications of Financial Literacy on Gender and Over Indebtedness: The Case of Kenya;"This study examines the relationship between financial literacy and over-indebtedness
Ęfrom a gender perspective and considering increased usage of digital financial
Ęservices. The study used both primary and secondary data sourced from the FinAccess
ĘHousehold Survey 2021. The results show that although gender gaps in access andĘ
Ęusage have declined over time, disparities still exist in terms of utilization of differentĘ
Ęcomponents of financial products, financial literacy and indebtedness. Specifically,Ę
Ęthe results show that women prefer informal channels of credit services such as
ĘChamas compared to men whose preference is formal channels. The results furtherĘ
Ęshow that both formal education and financial literacy lower the probability of over indebtedness, and that women are less financially literate than men and, for thatĘ
Ęreason, have higher chances of being over-indebted than men. The results also reveal
Ęthat there is a huge demand for financial education, and that slightly more than aĘ
Ęquarter of the surveyed population is aware of credit reference bureaus and less thanĘ
Ęa quarter canaccess anduse them despite their significance in minimizing information
Ęasymmetry, improving credit pricing, and minimizing default rates. Based on the
Ęresults, the study provides three recommendations. First, development of customized
Ęfinancial initiatives targeting different customer segments S including women wouldĘ
Ębe beneficial in minimizing financial literacy gaps and over-indebtedness. Second,Ę
Ęthe terms and conditions of loans that form an important financial decision-makingĘ
Ętool need to be reviewed at industry and regulatory level, with an objective of making
Ęthem simple, readable, concise and user-friendly. Thirdly, enhancement of access,Ę
Ęusage, and awareness of CRBs can be an important policy tool for minimizingĘ
Ęover-indebtedness.";Ownership and Use of Economic Assets, Human Capital;East Africa;Working paper;African Economic Research Consortium;Jul-23;"Kamau, Anne
Misati, Roseline
Ngoka, Kethi
Odongo, Maureen
Were, Maureen";http://publication.aercafricalibrary.org/handle/123456789/3585;Financial Services & Inclusion, Digital Technologies & Services, Education, Access to Capital & Productive Inputs;
Expanding Digital Financial Services in the East African Community with a Gender Lens;"The uptake of mobile money is on the rise around the globe, in Sub-Saharan Africa,Ę
Ęand notably in East African countries. The digitization of government to person (G2P)Ę
Ępayments is rising, governments are using electronic payments to pay public sectorĘ
Ęsalaries, pensions and other social benefits. Social protection beneficiaries tend toĘ
Ębe poor, are often women, and carry a legacy of financial exclusion. It is thus difficultĘ
Ęto achieve a significant expansion of digital financial inclusion in these countriesĘ
Ęwithout gender consideration. Despite the outstanding achievements in the digitalĘ
Ęworld, women in East Africa face more significant challenges in gaining access toĘ
Ędigital financial services than men. This paper discusses more general and specificĘ
Ębarriers, including women's lack of technical know-how to make transactions, lowĘ
Ęlevels of mobile phone ownership, unavailability of agents, high transaction fees, andĘ
Ępoor network coverage. The paper further discusses potential strategies for expandingĘ
Ędigital financial inclusion for women, including those in the agriculture sector.";Access to and Use of Services, Other;East Africa;Working paper;African Economic Research Consortium;Jul-23;Myamba, Flora;http://publication.aercafricalibrary.org/handle/123456789/3582;Financial Services & Inclusion, Poverty, Digital Technologies & Services, Education;
